# Pali Buddhist Terms for Translation
# Total: 1603 terms
# Format: Pali Term | Usage Count | Sample Context

Aññatrasuttaṃ | 1 uses | Section Title: sn.5.12/Section 1131
Aññindriyasuttaṃ | 1 uses | Section Title: sn.5.4/Section 493
Aññāsuttaṃ | 1 uses | Section Title: sn.5.3/Section 402
Aḍḍakaraṇasuttaṃ | 1 uses | Section Title: sn.1.3/Section 118
Aṭṭhasatapariyāyavaggo | 1 uses | Vagga Title: sn.4.2/Section 269
Aṭṭhasatasuttaṃ | 1 uses | Section Title: sn.4.2/Section 270
Aṭṭhaṅgikasuttaṃ | 1 uses | Section Title: sn.2.3/Section 112
Aṭṭhikamahapphalasuttaṃ | 1 uses | Section Title: sn.5.2/Section 238
Aṭṭhisuttaṃ | 1 uses | Section Title: sn.2.8/Section 202
Bahubhāṇisuttaṃ | 1 uses | Section Title: an5.22/Section 214
Bahudhītarasuttaṃ | 1 uses | Section Title: sn.1.7/Section 196
Bahukārasuttaṃ | 1 uses | Section Title: an3.3/Section 24
Bahussutasuttaṃ | 1 uses | Section Title: sn.4.3/Section 300
Bahūpakārasuttaṃ | 1 uses | Section Title: an5.24/Section 234
Bakabrahmasuttaṃ | 1 uses | Section Title: sn.1.6/Section 175
Balakaraṇīyādisuttadvādasakaṃ | 1 uses | Section Title: sn.5.5/Section 673
